trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
50,2,1,477,1,0,0,1,0,0
51,2,1,426,0,0,1,1,0,0
52,2,1,427,0,0,1,0,0,1
53,2,1,428,0,0,0,0,0,1
54,2,1,352,1,0,0,0,0,0
55,2,1,389,0,0,1,1,0,0
56,2,1,290,1,0,0,0,0,1
57,2,1,278,0,0,0,1,0,0
58,2,1,381,1,1,1,0,0,0
59,2,1,255,0,0,0,1,1,1
60,2,1,474,0,1,1,0,0,0
61,2,1,251,1,0,0,0,1,1
62,2,1,370,0,1,0,1,0,0
63,2,1,401,1,1,1,0,1,0
64,2,1,419,1,1,1,1,1,1
65,2,1,596,1,1,0,1,1,1
66,2,1,366,0,1,1,1,1,0
67,2,1,407,0,1,1,0,1,1
68,2,1,862,0,0,1,0,1,1
69,2,1,291,1,1,1,0,0,1
70,2,1,295,0,1,1,1,1,1
71,2,1,336,0,1,1,0,1,1
72,2,1,305,1,0,0,0,1,1
73,2,1,301,1,1,1,1,0,0
74,2,1,381,0,0,1,1,1,1
75,2,1,305,1,1,1,0,0,1
76,2,1,335,0,1,1,1,1,1
77,2,1,286,0,0,0,0,1,1
78,2,1,360,0,1,0,0,0,0
79,2,1,335,0,1,1,0,1,0
80,2,1,698,0,1,0,0,1,1
81,2,1,372,1,0,0,0,1,0
82,2,1,328,1,1,1,1,0,0
83,2,1,382,0,1,1,1,1,1
84,2,1,415,0,0,1,0,1,1
85,2,1,327,1,1,0,0,0,1
86,2,1,391,1,0,0,1,1,0
87,2,1,312,0,1,0,1,0,0
88,2,1,308,0,0,0,0,1,0
89,2,1,302,1,1,1,0,0,0
90,2,1,404,1,1,0,1,1,1
91,2,1,325,0,0,0,1,1,0
92,2,1,247,0,1,1,0,0,0
93,2,1,765,1,1,0,0,1,1
94,2,1,420,0,0,1,1,1,0
95,2,1,375,0,0,0,0,0,1
96,2,1,289,0,1,1,0,0,0
97,2,0,249,0,0,1,0,1,1
98,2,1,411,1,1,0,0,0,1
99,2,1,396,0,0,0,1,1,0
100,2,1,331,1,1,0,0,0,0
101,2,1,405,0,1,0,1,1,0
102,2,1,475,0,0,1,0,1,0
103,2,1,529,1,0,1,0,0,1
104,2,1,477,0,0,0,0,0,0
104,2,1,477,0,0,0,1,0,1
105,2,1,407,1,1,0,0,0,0
106,2,1,353,1,1,1,1,1,0
107,2,1,693,0,0,1,1,1,1
108,2,1,453,0,0,1,0,0,1
109,2,1,540,1,1,0,0,0,1
110,2,1,382,0,0,0,1,1,0
111,2,1,339,0,1,0,0,0,0
112,2,1,504,1,1,0,0,1,0
113,2,1,386,1,0,1,1,1,0
114,2,1,431,1,0,0,1,0,1
115,2,1,375,0,0,0,1,0,0
116,2,1,472,1,1,0,0,0,0
117,2,1,443,1,0,1,1,1,0
118,2,1,358,1,0,1,1,0,1
119,2,1,441,1,0,1,1,0,1
120,2,1,402,1,1,0,1,0,1
121,2,1,335,0,0,0,1,1,0
122,2,1,397,0,0,0,0,0,0
123,2,1,402,0,0,0,0,0,0
124,2,1,394,0,1,0,0,0,0
125,2,1,338,0,0,0,0,1,0
126,2,1,378,0,1,0,0,0,0
127,2,1,462,1,1,0,0,1,0
128,2,1,404,1,0,0,1,1,0
129,2,1,303,1,1,1,1,0,0
130,2,1,341,1,0,1,1,1,1
131,2,0,369,0,0,1,1,0,1
132,2,1,421,1,0,1,0,0,1
133,2,1,369,1,0,0,1,0,1
134,2,1,400,1,1,0,1,0,0
135,2,1,422,0,0,1,1,1,0
136,2,1,956,1,0,1,0,0,1
137,2,1,492,1,1,0,1,0,1
138,2,0,0,1,1,1,1,1,0
139,2,1,243,1,0,0,1,1,1
140,2,1,372,1,1,0,1,0,0
141,2,1,297,1,0,0,1,1,0
142,2,1,421,0,0,0,1,0,0
143,2,1,395,1,1,1,0,0,0
144,2,1,180,0,0,0,1,1,1
145,2,1,298,1,0,0,0,0,0
146,2,1,308,1,0,0,1,0,0
147,2,1,556,1,0,1,1,0,0
148,2,1,540,0,0,1,1,0,1
149,2,1,305,1,1,1,0,0,1
150,2,1,309,0,0,0,1,1,1
151,2,1,360,0,1,1,0,0,0
